VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,09/01/2021 06:49:38 AM,09/01/2021 06:51:47 AM,N,1,74,74,1,0.3,3.5,0,0.5,3,0,,0.3,7.3,1,1,0
2,09/01/2021 06:50:00 AM,09/01/2021 07:22:00 AM,,,134,75,,14.52,36.01,2.75,0,0,6.55,,0.3,45.61,,,
2,09/01/2021 06:51:00 AM,09/01/2021 07:21:00 AM,,,130,42,,13.66,38.35,2.75,0,0,6.55,,0.3,47.95,,,
1,09/01/2021 06:51:25 AM,09/01/2021 07:16:51 AM,N,1,75,136,1,6.4,22.5,0,0.5,4.65,0,,0.3,27.95,1,1,0
2,09/01/2021 06:51:59 AM,09/01/2021 07:29:36 AM,N,1,169,28,1,15.59,47,0,0.5,0,6.55,,0.3,54.35,1,1,0
2,09/01/2021 06:52:00 AM,09/01/2021 07:14:00 AM,,,95,226,,5.27,25.21,2.75,0,0,0,,0.3,28.26,,,
2,09/01/2021 06:52:00 AM,09/01/2021 07:21:00 AM,,,213,139,,2.57,45.83,2.75,0,0,6.55,,0.3,55.43,,,
1,09/01/2021 06:53:16 AM,09/01/2021 06:58:13 AM,N,1,74,41,3,1,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
2,09/01/2021 06:54:00 AM,09/01/2021 07:05:00 AM,,,243,74,,4.77,18.28,0,0,4.13,0,,0.3,22.71,,,
2,09/01/2021 06:55:40 AM,09/01/2021 07:09:30 AM,N,1,41,247,1,2.07,11.5,0,0.5,2.46,0,,0.3,14.76,1,1,0
2,09/01/2021 06:56:00 AM,09/01/2021 07:06:00 AM,,,32,250,,3.43,19.57,2.75,0,0,0,,0.3,22.62,,,
